,geometry,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,ORIGEM,OBJECTID,UF,CEG,lat,long
510,POINT (-35.88727404699995 -5.110637641832319),1.6,130.0,80.0,100.0,1666625847000,30571,União dos Ventos 10,UV10-08,179852.0,9434385.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Pontal do Nordeste Geradora Eólica S.A.,,511,RN,EOLCVRN030571-5-01,-5.110637641832319,-35.88727404699995
511,POINT (-53.38965781799993 -33.68104861412883),1.79,130.0,80.0,100.0,1666625847000,31517,Chuí 09,AGC09-08,278474.0,6270645.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí IX S.A.,,512,RS,EOLCVRS031517-6-01,-33.68104861412883,-53.38965781799993
512,POINT (-41.37778525299995 -11.741768879623491),2.3,122.0,80.0,84.0,1666625847000,30726,Primavera,AEG4,240844.0,8700906.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Primavera Eólica S.A.,,513,BA,EOLCVBA030726-2-01,-11.741768879623491,-41.37778525299995
513,POINT (-41.432069911999974 -10.430326015663576),2.7,150.0,89.0,122.0,1666625847000,33630,Campo Largo V,AEG4,233739.0,8845985.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),CLWP Eólica Parque V S.A.,,514,BA,EOLCVBA033630-0-01,-10.430326015663576,-41.432069911999974
514,POINT (-53.39803159499996 -33.72592875812826),2.0,145.0,100.0,90.0,1666625847000,30844,Minuano I,UG2,277813.23,6265649.33,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí VI S.A.,,515,RS,EOLCVRS030844-7-01,-33.72592875812826,-53.39803159499996
515,POINT (-53.324247999999955 -33.645797999129286),1.79,130.0,80.0,100.0,1666625847000,31541,Verace 25,AGV25-02,284281.0,6275084.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Hermenegildo I S.A.,,516,RS,EOLCVRS031541-9-01,-33.645797999129286,-53.324247999999955
516,POINT (-53.339319459999956 -33.60715718712978),1.79,130.0,80.0,100.0,1666625847000,31602,Verace 30,AGV30-06,282956.0,6278947.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Hermenegildo II S.A.,,517,RS,EOLCVRS031602-4-01,-33.60715718712978,-53.339319459999956
517,POINT (-35.38134930099994 -5.326774235825286),0.8,99.0,75.0,48.0,1666625847000,28424,RN 15 - Rio do Fogo,1.40,236077.0,9410705.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Energias Renováveis do Brasil S.A.,,518,RN,EOLCVRN028424-6-01,-5.326774235825286,-35.38134930099994
518,POINT (-40.93409884899995 -10.007150121676595),2.0,135.0,80.0,110.0,1666625847000,32523,Delfina VI,15,287998.0,8893175.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Delfina D Eólica S.A.,,519,BA,EOLCVBA032523-6-01,-10.007150121676595,-40.93409884899995
519,POINT (-35.898368250999965 -5.485624535820125),2.7,150.0,89.0,122.0,1666625847000,30828,Ventos de Santo Uriel,SU_02,178816.0,9392878.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Ventos de Santo Uriel S.A,,520,RN,EOLCVRN030828-5-01,-5.485624535820125,-35.898368250999965
520,POINT (-35.864092658999944 -5.280777974826809),2.0,145.0,95.0,100.0,1666625847000,30497,Renascença V,9,182511.0,9415568.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Renascença V Energias Renováveis S.A.,,521,RN,EOLCVRN030497-2-01,-5.280777974826809,-35.864092658999944
521,POINT (-36.946269246999975 -7.057961040769526),3.465,150.0,84.0,132.0,1666625847000,35240,Ventos de Arapuá 1,ARP1-04,726856.0,9219344.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Ventos de Arapuá 1 Energia Renovável S.A.,,522,PB,EOLCVPB035240-3-01,-7.057961040769526,-36.946269246999975
522,POINT (-52.347969127999924 -32.41648686314568),2.7,150.0,89.0,122.0,1666625847000,30819,Corredor do Senandes III,S3-05,373251.0,6412599.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),NCER Eólica Corredor do Senandes III S.A.,,523,RS,EOLCVRS030819-6-01,-32.41648686314568,-52.347969127999924
523,POINT (-52.35759519799996 -32.403141930145814),2.7,150.0,89.0,122.0,1666625847000,30819,Corredor do Senandes III,S3-04,372327.0,6414067.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),NCER Eólica Corredor do Senandes III S.A.,,524,RS,EOLCVRS030819-6-01,-32.403141930145814,-52.35759519799996
524,POINT (-35.387504597999964 -5.3327882778250935),0.8,99.0,75.0,48.0,1666625847000,28424,RN 15 - Rio do Fogo,1.48,235397.0,9410037.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Energias Renováveis do Brasil S.A.,,525,RN,EOLCVRN028424-6-01,-5.3327882778250935,-35.387504597999964
525,POINT (-35.79399463699997 -5.0832094198331825),1.6,130.0,80.0,100.0,1666625847000,30565,União dos Ventos 4,UV4-07,190191.27,9437468.16,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Torres de São Miguel Geradora Eólica S.A.,,526,RN,EOLCVRN030565-0-01,-5.0832094198331825,-35.79399463699997
526,POINT (-38.083158526999966 -4.186088124862406),0.8,99.0,75.0,48.0,1666625847000,28174,Beberibe,WEC - 07,601793.6885,9537284.514,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Eólica Beberibe S.A.,,527,CE,EOLCVCE028174-3-01,-4.186088124862406,-38.083158526999966
527,POINT (-53.414203881999974 -33.73247042112818),2.0,145.0,100.0,90.0,1666625847000,30844,Minuano I,UG8,276331.45,6264888.82,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí VI S.A.,,528,RS,EOLCVRS030844-7-01,-33.73247042112818,-53.414203881999974
528,POINT (-42.69103127199998 -13.840102410561158),2.7,150.0,89.0,122.0,1673359590000,32106,Juazeiro,JUA - 05,749579.0,8468754.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Juazeiro S.A.,,529,BA,EOLCVBA032106-0-01,-13.840102410561158,-42.69103127199998
529,POINT (-35.98248526499998 -5.5193967018190415),2.2,150.0,95.0,110.0,1666625847000,33666,Boa Esperança I,BE_5,169505.0,9389094.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Eólica Boa Esperança I S.A.,,530,RN,EOLCVRN033666-1-01,-5.5193967018190415,-35.98248526499998
530,POINT (-41.353510663999934 -11.641863254626559),2.3,122.0,80.0,84.0,1666625847000,30725,São Judas,AEG02,243399.0,8711984.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power São Judas Eólica S.A.,,531,BA,EOLCVBA030725-4-01,-11.641863254626559,-41.353510663999934
531,POINT (-42.57292867499996 -2.6971101899111094),2.7,148.0,90.0,116.0,1666625847000,40574,Delta 8 I,D7-III-04,769856.0,9701617.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Delta 8 I Energia S.A.,,532,MA,EOLCVMA040574-4-01,-2.6971101899111094,-42.57292867499996
532,POINT (-35.99968927899994 -5.156412696830813),2.1,175.0,120.0,110.0,1666625847000,33647,São Miguel III,SM III 01,167401.0,9429263.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Central Geradora Eólica São Miguel III S.A.,,533,RN,EOLCVRN033647-5-01,-5.156412696830813,-35.99968927899994
533,POINT (-34.96992106499994 -6.549950117785839),0.8,99.6,75.6,48.0,1666625847000,29085,Albatroz,2,282214.0,9275620.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A.,,534,PB,EOLCVPB029085-8-01,-6.549950117785839,-34.96992106499994
534,POINT (-53.37249752699995 -33.60596598712981),1.79,130.0,80.0,100.0,1666625847000,31557,Verace 29,AGV29-01,279874.0,6279009.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Hermenegildo II S.A.,,535,RS,EOLCVRS031557-5-01,-33.60596598712981,-53.37249752699995
535,POINT (-42.701645601999985 -14.173215610551425),1.68,121.25,80.0,82.5,1666625847000,30779,Ametista,AEG-16,748073.0,8431898.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Ametista S.A.,,536,BA,EOLCVBA030779-3-01,-14.173215610551425,-42.701645601999985
536,POINT (-35.38130682299993 -5.3368074688249605),0.8,99.0,75.0,48.0,1666625847000,28424,RN 15 - Rio do Fogo,1.55,236086.0,9409595.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Energias Renováveis do Brasil S.A.,,537,RN,EOLCVRN028424-6-01,-5.3368074688249605,-35.38130682299993
537,POINT (-53.312986095999975 -33.6608595301291),1.79,130.0,80.0,100.0,1666625847000,31600,Verace 27,AGV27-02,285533.0,6273046.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Hermenegildo I S.A.,,538,RS,EOLCVRS031600-8-01,-33.6608595301291,-53.312986095999975
538,POINT (-41.39809287999998 -11.796277252621879),2.3,130.5,80.0,101.0,1666625847000,30727,Cristal,AEG7,238681.0,8694855.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Cristalandia I Eólica S.A.,,539,BA,EOLCVBA030727-0-01,-11.796277252621879,-41.39809287999998
539,POINT (-35.848957524999946 -5.276582903826912),2.0,145.0,95.0,100.0,1666625847000,30497,Renascença V,11,184188.0,9416040.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Renascença V Energias Renováveis S.A.,,540,RN,EOLCVRN030497-2-01,-5.276582903826912,-35.848957524999946
540,POINT (-36.917240283999945 -4.969666271836845),2.1,136.5,89.0,95.0,1666625847000,30389,Mar e Terra,UG4,730944.0,9450325.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Mar e Terra Geração e Comercialização de Energia S.A.,,541,RN,EOLCVRN030389-5-01,-4.969666271836845,-36.917240283999945
541,POINT (-35.867337232999944 -5.371823591823824),1.6,121.0,80.0,82.0,1666625847000,30310,Morro dos Ventos III,AG_18_MV3,182197.89,9405489.71,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Desa Morro dos Ventos III S.A,,542,RN,EOLCVRN030310-0-01,-5.371823591823824,-35.867337232999944
542,POINT (-42.62028708199994 -13.915953087558949),2.35,130.0,80.0,100.0,1666625847000,30801,Joana,AEG2,757146.0,8460284.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Enel Green Power Joana Eólica S.A.,,543,BA,EOLCVBA030801-3-01,-13.915953087558949,-42.62028708199994
543,POINT (-41.57045133699995 -10.67234882465612),2.5,148.0,90.0,116.0,1666625847000,33634,Umburanas 17,UMB_17_01,218800.0,8819080.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Centrais Eólicas Umburanas 14 Ltda.,,544,BA,EOLCVBA033634-3-01,-10.67234882465612,-41.57045133699995
