OBJECTID,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,OPERACAO,PROPRIETARIO,UF,LATITUDE,LONGITUDE
1787,1.68,122.0,80.0,82.5,2022-10-24 15:37:27,30776,Pilões,PIL-09,True,Centrais Eólicas Pilões S.A.,BA,-14.036863349555427,-42.622304404999966
1788,1.79,130.0,80.0,100.0,2022-10-24 15:37:27,31557,Verace 29,AGV29-10,True,Eólica Hermenegildo II S.A.,RS,-33.63010742912947,-53.34153522899993
1789,2.0999999,137.0,80.0,114.0,2022-10-24 15:37:27,34717,Ventos de Santa Emília,BA-05-03,True,Central Eólica Babilônia V S.A.,BA,-11.009684651645788,-41.229787466999944
1790,2.1,175.0,120.0,110.0,2022-10-24 15:37:27,32356,Potiguar,PO11,True,Usina de Energia Eólica Potiguar S.A.,RN,-5.077544887833399,-35.914573504999964
1791,1.68,122.0,80.0,82.5,2022-10-24 15:37:27,30546,Seraíma,SER-06,True,Centrais Eólicas Seraima S.A.,BA,-14.135471024552546,-42.708722361999946
1792,2.0,138.5,90.0,97.0,2022-10-24 15:37:27,30830,Porto Salgado,B-09,True,Porto Salgado Energia S.A.,PI,-2.839734906906477,-41.74115179699993
1793,2.1,143.7,96.2,95.0,2022-10-24 15:37:27,28857,Taíba Águia,AEG-05,True,Central Geradora Eólica Taíba Águia S.A,CE,-3.5316955618837493,-38.88911549799997
1794,2.7,180.0,119.0,122.0,2022-10-24 15:37:27,32012,Ouro Verde,7,True,Central Eólica Ouro Verde SPE S.A.,CE,-3.2930053658915694,-39.297939677999985
1795,2.2,135.0,80.0,110.0,2022-10-24 15:37:27,32527,Ventos da Bahia III,AEG1,True,Parque Eólico Ventos da Bahia III S.A.,BA,-11.974740089616482,-41.52213626799993
1796,3.15,182.5,120.0,125.0,2021-03-23 17:48:10,33017,Ventos de Santa Ângela 13,VSA13-03,True,Enel Green Power Ventos de Santa Ângela ACL 13 S.A.,PI,-8.774424290715087,-41.412413177999944
1797,2.0,121.5,78.0,87.0,2022-10-24 15:37:27,30537,Calango 4,CAL4-15,True,Calango 4 Energia Renovável S.A.,RN,-6.030303087802516,-36.453053114999925
1798,2.0,133.0,98.0,70.0,2022-10-24 15:37:27,28811,Sangradouro,SG-15,True,Ventos do Sul Energia S.A.,RS,-29.937002096183438,-50.29661267299997
1799,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28858,Taíba Albatroz,6,True,BVP Geradora de Energia S.A.,CE,-3.513780039884377,-38.915398163999946
1800,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30874,Riachão IV,AEG 3,True,Central Eólica Anemoi Ltda.,RN,-5.511603572819296,-35.464608863999956
1801,2.70000005,150.0,89.0,122.0,2022-10-24 15:37:27,30505,Asa Branca I,I-09,True,Nova Asa Branca I Energias Renováveis S.A.,RN,-5.246571324827867,-35.83610311399997
1802,2.0,139.0,98.0,82.0,2022-10-24 15:37:27,30378,Santa Clara V,SC-V-13,True,Santa Clara V Energias Renováveis Ltda.,RN,-5.261092488827427,-35.92271777499997
1803,1.6,121.25,80.0,82.5,2022-10-24 15:37:27,30324,Pindaí,PND_4,True,Centrais Eólicas Pindaí S.A.,BA,-14.197386376550723,-42.654504748999955
1804,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,34636,Campo Largo XV,CLXV-04,True,CLWP Eólica Parque XV Ltda.,BA,-10.495900372661499,-41.43857085299994
